Time;WBHP;WOPR;WWPR;WGPR
5;323;1314;0.0;0.240
6;335;1321;0.0;0.260
7;343;1309;0.0;0.247
8;348;1299;0.0;0.233
9;349;1287;0.0;0.240
10;348;1286;0.0;0.224
27;345;1338;0.0;0.213
28;345;1336;0.0;0.217
29;345;1325;0.0;0.214
30;343;1318;0.0;0.207
31;345;1326;0.0;0.203
32;351;1319;0.0;0.204
33;351;1311;0.0;0.206
34;343;1307;0.0;0.206
35;347;1280;0.0;0.200
36;344;1275;0.0;0.200
37;341;1300;0.0;0.202
38;342;1286;0.0;0.207
39;328;1298;0.0;0.214
40;340;1275;0.0;0.208
41;345;1260;0.0;0.203
42;341;1261;0.0;0.209
43;339;1258;0.0;0.203
44;340;1262;0.0;0.202
45;339;1255;0.0;0.201
46;338;1251;0.0;0.202
47;338;1253;0.0;0.200
48;339;1237;0.0;0.190
49;337;1241;0.0;0.198
50;339;1238;0.0;0.195
51;337;1235;0.0;0.199
52;335;1242;0.0;0.193
53;335;1239;0.0;0.200
54;335;1235;0.0;0.194
55;338;1234;0.0;0.203
56;338;1229;0.0;0.199
57;337;1233;0.0;0.203
58;339;1228;0.0;0.193
59;335;1224;0.0;0.201
60;337;1220;0.0;0.188
61;335;1222;0.0;0.200
62;336;1219;0.0;0.194
63;335;1215;0.0;0.196
64;336;1217;0.0;0.192
65;336;1220;0.0;0.188
66;333;1211;0.0;0.204
67;335;1208;0.0;0.198
68;335;1205;0.0;0.195
69;333;1218;0.0;0.198
70;335;1187;0.0;0.195
71;334;1190;0.0;0.202
72;333;1191;0.0;0.199
73;332;1189;0.0;0.192
74;332;1187;0.0;0.190
75;334;1188;0.0;0.194
76;333;1182;0.0;0.186
77;333;1180;0.0;0.190
78;331;1181;0.0;0.193
79;332;1177;0.0;0.191
80;333;1171;0.0;0.190
81;332;1170;0.0;0.193
82;332;1168;0.0;0.183
83;331;1186;0.0;0.191
84;328;1185;0.0;0.190
85;325;1161;0.0;0.187
86;328;1185;0.0;0.191
87;325;1199;0.0;0.186
88;323;1177;0.0;0.186
89;323;1162;0.0;0.184
90;321;1182;0.0;0.233
91;325;1162;0.0;0.241
92;319;1150;0.0;0.241
93;315;1165;0.0;0.247
94;314;1158;0.0;0.249
95;314;1151;0.0;0.254
96;310;1159;0.0;0.264
97;304;1183;0.0;0.324
98;312;1161;0.0;0.308
99;310;1156;0.0;0.343
100;309;1160;0.0;0.347
101;307;1158;0.0;0.321
102;304;1162;0.0;0.379
103;303;1170;0.0;0.386
104;303;1164;0.0;0.345
105;301;1178;0.0;0.322
106;301;1163;0.0;0.322
107;300;1156;0.0;0.320
108;299;1172;0.0;0.338
109;301;1147;0.0;0.327
110;301;1153;0.0;0.323
111;299;1159;0.0;0.334
112;301;1147;0.0;0.320
113;299;1153;0.0;0.330
114;298;1139;0.0;0.318
115;297;1146;0.0;0.305
116;298;1140;0.0;0.316
117;283;1141;0.0;0.300
149;147;1073;0.0;0.349
150;155;1087;0.0;0.359
151;169;1069;0.0;0.332
152;153;1076;0.0;0.335
153;147;1093;0.0;0.33
156;167;1082;0.0;0.348
157;164.5;1071;0.0;0.342
159;31;1070;0.0;0.354
160;37.8;1065;0.0;0.356
161;40.16;1068;0.0;0.345
162;43;1067;0.0;0.35
163;40;1054;0.0;0.357
164;41;1061;0.0;0.347
165;37;1062;0.0;0.337
166;37;1073;0.0;0.349
168;278;1048;0.0;0.346
169;279;1049;0.0;0.342
170;275;1045;1.0;0.339
171;281;1039;2.1;0.314
172;278;1044;2.1;0.326
173;281;1030;2.1;0.323
174;279;1037;1.0;0.331
175;279;1025;2.1;0.35
176;281;1030;4.1;0.336
177;278;1032;3.1;0.362
178;282;1011;6.1;0.336
179;279;1016;5.1;0.314
180;276;1013;6.1;0.326
181;277;1007;3.4;0.322
182;276;1020;4.3;0.326
183;276;1007;5.4;0.334
184;272;1014;4.7;0.319
185;273;1012;4.3;0.315
186;272;1014;3.3;0.316
187;273;1003;6.5;0.322
188;272;1008;6.0;0.326
189;270;1001;7.8;0.333
190;271;1005;7.0;0.312
191;269;1002;8.0;0.327
192;270;1004;6.0;0.325
193;270;1003;5.0;0.325
194;270;1000;5.0;0.317
195;269;968;4.0;0.337
196;270;994;5.0;0.330
197;269;972;5.0;0.324
198;267;968;4.0;0.327
199;267;982;3.0;0.338
200;264;984;4.0;0.348
201;266;955;4.0;0.349
202;270;966;4.0;0.343
203;270;961;4.0;0.336
204;268;964;4.0;0.340
205;268;969;5.0;0.344
206;269;961;4.0;0.330
207;268;962;5.0;0.342
208;269;956;4.0;0.356
209;265;979;2.0;0.334
210;267;948;3.0;0.336
211;267;952;2.0;0.331
212;265;963;4.0;0.326
213;266;953;2.0;0.323
214;266;962;2.0;0.332
215;266;954;3.0;0.334
216;266;941;7.0;0.333
217;266;958;5.0;0.324
218;264;940;7.0;0.342
219;264;926;2.0;0.341
220;266;927;4.0;0.341
221;266;941;4.0;0.339
222;267;938;3.0;0.338
