Date,Time,WOPR
2015-07-06,5,1314
2015-07-07,6,1321
2015-07-08,7,1309
2015-07-09,8,1299
2015-07-10,9,1287
2015-07-11,10,1286
2015-07-28,27,1338
2015-07-29,28,1336
2015-07-30,29,1325
2015-07-31,30,1318
2015-08-01,31,1326
2015-08-02,32,1319
2015-08-03,33,1311
2015-08-04,34,1307
2015-08-05,35,1280
2015-08-06,36,1275
2015-08-07,37,1300
2015-08-08,38,1286
2015-08-09,39,1298
2015-08-10,40,1275
2015-08-11,41,1260
2015-08-12,42,1261
2015-08-13,43,1258
2015-08-14,44,1262
2015-08-15,45,1255
2015-08-16,46,1251
2015-08-17,47,1253
2015-08-18,48,1237
2015-08-19,49,1241
2015-08-20,50,1238
2015-08-21,51,1235
2015-08-22,52,1242
2015-08-23,53,1239
2015-08-24,54,1235
2015-08-25,55,1234
2015-08-26,56,1229
2015-08-27,57,1233
2015-08-28,58,1228
2015-08-29,59,1224
2015-08-30,60,1220
2015-08-31,61,1222
2015-09-01,62,1219
2015-09-02,63,1215
2015-09-03,64,1217
2015-09-04,65,1220
2015-09-05,66,1211
2015-09-06,67,1208
2015-09-07,68,1205
2015-09-08,69,1218
2015-09-09,70,1187
2015-09-10,71,1190
2015-09-11,72,1191
2015-09-12,73,1189
2015-09-13,74,1187
2015-09-14,75,1188
2015-09-15,76,1182
2015-09-16,77,1180
2015-09-17,78,1181
2015-09-18,79,1177
2015-09-19,80,1171
2015-09-20,81,1170
2015-09-21,82,1168
2015-09-22,83,1186
2015-09-23,84,1185
2015-09-24,85,1161
2015-09-25,86,1185
2015-09-26,87,1199
2015-09-27,88,1177
2015-09-28,89,1162
2015-09-29,90,1182
2015-09-30,91,1162
2015-10-01,92,1150
2015-10-02,93,1165
2015-10-03,94,1158
2015-10-04,95,1151
2015-10-05,96,1159
2015-10-06,97,1183
2015-10-07,98,1161
2015-10-08,99,1156
2015-10-09,100,1160
2015-10-10,101,1158
2015-10-11,102,1162
2015-10-12,103,1170
2015-10-13,104,1164
2015-10-14,105,1178
2015-10-15,106,1163
2015-10-16,107,1156
2015-10-17,108,1172
2015-10-18,109,1147
2015-10-19,110,1153
2015-10-20,111,1159
2015-10-21,112,1147
2015-10-22,113,1153
2015-10-23,114,1139
2015-10-24,115,1146
2015-10-25,116,1140
2015-10-26,117,1141
2015-11-27,149,1073
