Date,Time,WOPR,WWPR,WGPR,GOR,WBHP
2015-07-05,4,1316,0.0,,,310
2015-07-06,5,1314,0.0,0.240,183,323
2015-07-07,6,1321,0.0,0.260,197,335
2015-07-08,7,1309,0.0,0.247,189,343
2015-07-09,8,1299,0.0,0.233,179,348
2015-07-10,9,1287,0.0,0.240,186,349
2015-07-11,10,1286,0.0,0.224,174,348
2015-07-28,27,1338,0.0,0.213,159,345
2015-07-29,28,1336,0.0,0.217,162,345
2015-07-30,29,1325,0.0,0.214,162,345
2015-07-31,30,1318,0.0,0.207,157,343
2015-08-01,31,1326,0.0,0.203,153,345
2015-08-02,32,1319,0.0,0.204,155,351
2015-08-03,33,1311,0.0,0.206,157,351
2015-08-04,34,1307,0.0,0.206,158,343
2015-08-05,35,1280,0.0,0.200,156,347
2015-08-06,36,1275,0.0,0.200,157,344
2015-08-07,37,1300,0.0,0.202,155,341
2015-08-08,38,1286,0.0,0.207,161,342
2015-08-09,39,1298,0.0,0.214,165,328
2015-08-10,40,1275,0.0,0.208,163,340
2015-08-11,41,1260,0.0,0.203,161,345
2015-08-12,42,1261,0.0,0.209,166,341
2015-08-13,43,1258,0.0,0.203,161,339
2015-08-14,44,1262,0.0,0.202,160,340
2015-08-15,45,1255,0.0,0.201,160,339
2015-08-16,46,1251,0.0,0.202,161,338
2015-08-17,47,1253,0.0,0.200,160,338
2015-08-18,48,1237,0.0,0.190,154,339
2015-08-19,49,1241,0.0,0.198,160,337
2015-08-20,50,1238,0.0,0.195,158,339
2015-08-21,51,1235,0.0,0.199,161,337
2015-08-22,52,1242,0.0,0.193,155,335
2015-08-23,53,1239,0.0,0.200,161,335
2015-08-24,54,1235,0.0,0.194,157,335
2015-08-25,55,1234,0.0,0.203,165,338
2015-08-26,56,1229,0.0,0.199,162,338
2015-08-27,57,1233,0.0,0.203,165,337
2015-08-28,58,1228,0.0,0.193,157,339
2015-08-29,59,1224,0.0,0.201,164,335
2015-08-30,60,1220,0.0,0.188,154,337
2015-08-31,61,1222,0.0,0.200,164,335
2015-09-01,62,1219,0.0,0.194,159,336
2015-09-02,63,1215,0.0,0.196,161,335
2015-09-03,64,1217,0.0,0.192,158,336
2015-09-04,65,1220,0.0,0.188,154,336
2015-09-05,66,1211,0.0,0.204,168,333
2015-09-06,67,1208,0.0,0.198,164,335
2015-09-07,68,1205,0.0,0.195,162,335
2015-09-08,69,1218,0.0,0.198,163,333
2015-09-09,70,1187,0.0,0.195,164,335
2015-09-10,71,1190,0.0,0.202,170,334
2015-09-11,72,1191,0.0,0.199,167,333
2015-09-12,73,1189,0.0,0.192,161,332
2015-09-13,74,1187,0.0,0.190,160,332
2015-09-14,75,1188,0.0,0.194,163,334
2015-09-15,76,1182,0.0,0.186,157,333
2015-09-16,77,1180,0.0,0.190,161,333
2015-09-17,78,1181,0.0,0.193,163,331
2015-09-18,79,1177,0.0,0.191,162,332
2015-09-19,80,1171,0.0,0.190,162,333
2015-09-20,81,1170,0.0,0.193,165,332
2015-09-21,82,1168,0.0,0.183,157,332
2015-09-22,83,1186,0.0,0.191,161,331
2015-09-23,84,1185,0.0,0.190,160,328
2015-09-24,85,1161,0.0,0.187,161,325
2015-09-25,86,1185,0.0,0.191,161,328
2015-09-26,87,1199,0.0,0.186,155,325
2015-09-27,88,1177,0.0,0.186,158,323
2015-09-28,89,1162,0.0,0.184,158,323
2015-09-29,90,1182,0.0,0.233,197,321
2015-09-30,91,1162,0.0,0.241,207,325
2015-10-01,92,1150,0.0,0.241,210,319
2015-10-02,93,1165,0.0,0.247,212,315
2015-10-03,94,1158,0.0,0.249,215,314
2015-10-04,95,1151,0.0,0.254,221,314
2015-10-05,96,1159,0.0,0.264,228,310
2015-10-06,97,1183,0.0,0.324,274,304
2015-10-07,98,1161,0.0,0.308,265,312
2015-10-08,99,1156,0.0,0.343,297,310
2015-10-09,100,1160,0.0,0.347,299,309
2015-10-10,101,1158,0.0,0.321,277,307
2015-10-11,102,1162,0.0,0.379,326,304
2015-10-12,103,1170,0.0,0.386,330,303
2015-10-13,104,1164,0.0,0.345,296,303
2015-10-14,105,1178,0.0,0.322,273,301
2015-10-15,106,1163,0.0,0.322,277,301
2015-10-16,107,1156,0.0,0.320,277,300
2015-10-17,108,1172,0.0,0.338,288,299
2015-10-18,109,1147,0.0,0.327,285,301
2015-10-19,110,1153,0.0,0.323,280,301
2015-10-20,111,1159,0.0,0.334,288,299
2015-10-21,112,1147,0.0,0.320,279,301
2015-10-22,113,1153,0.0,0.330,286,299
2015-10-23,114,1139,0.0,0.318,279,298
2015-10-24,115,1146,0.0,0.305,266,297
2015-10-25,116,1140,0.0,0.316,277,298
2015-10-26,117,1141,0.0,0.300,263,283
2015-11-27,149,1073,0.0,0.349,325,147
2015-11-28,150,1087,0.0,0.359,330,155
2015-11-29,151,1069,0.0,0.332,311,169
2015-11-30,152,1076,0.0,0.335,311,153
2015-12-01,153,1093,0.0,0.33,302,147
2015-12-04,156,1082,0.0,0.348,322,167
2015-12-05,157,1071,0.0,0.342,319,164.5
2015-12-07,159,1070,0.0,0.354,331,31
2015-12-08,160,1065,0.0,0.356,334,37.8
2015-12-09,161,1068,0.0,0.345,323,40.16
2015-12-10,162,1067,0.0,0.35,328,43
2015-12-11,163,1054,0.0,0.357,339,40
2015-12-12,164,1061,0.0,0.347,327,41
2015-12-13,165,1062,0.0,0.337,317,37
2015-12-14,166,1073,0.0,0.349,325,37
2015-12-16,168,1048,0.0,0.346,330,278
